"ID","new_user","country","age","source","pages_visited"
237151,"Yes","USA",39,"SEO",8
237152,"Yes","GBR",29,"ads",1
237153,"Yes","USA",34,"ads",7
237154,"No","USA",26,"ads",8
237155,"Yes","GBR",53,"direct",5
237156,"Yes","CHN",42,"ads",9
237157,"Yes","GBR",38,"SEO",8
237158,"Yes","DEU",25,"direct",3
237159,"Yes","USA",20,"ads",6
237160,"Yes","DEU",40,"SEO",4
237161,"Yes","USA",41,"SEO",2
237162,"Yes","GBR",31,"SEO",8
237163,"No","USA",38,"SEO",4
237164,"Yes","CHN",21,"SEO",1
237165,"Yes","USA",28,"SEO",7
237166,"No","DEU",20,"direct",3
237167,"Yes","USA",28,"SEO",2
237168,"Yes","GBR",26,"SEO",5
237169,"Yes","CHN",31,"direct",1
237170,"Yes","USA",25,"direct",3
237171,"No","USA",24,"SEO",5
237172,"Yes","USA",27,"direct",3
237173,"Yes","USA",29,"SEO",8
237174,"Yes","GBR",24,"direct",7
237175,"Yes","CHN",27,"ads",1
237176,"Yes","CHN",24,"direct",7
237177,"No","USA",24,"SEO",8
237178,"No","USA",18,"ads",3
237179,"No","USA",25,"ads",1
237180,"Yes","USA",33,"SEO",13
237181,"Yes","CHN",26,"ads",5
237182,"No","USA",38,"SEO",12
237183,"Yes","USA",36,"SEO",6
237184,"Yes","USA",31,"SEO",6
237185,"No","GBR",32,"SEO",6
237186,"Yes","USA",22,"SEO",9
237187,"Yes","USA",28,"SEO",7
237188,"Yes","USA",34,"SEO",1
237189,"No","CHN",26,"ads",6
237190,"Yes","CHN",30,"direct",4
237191,"Yes","CHN",30,"direct",6
237192,"No","USA",50,"direct",3
237193,"Yes","CHN",33,"SEO",5
237194,"Yes","GBR",35,"ads",3
237195,"Yes","CHN",19,"ads",4
237196,"Yes","USA",31,"SEO",5
237197,"No","CHN",40,"direct",2
237198,"No","USA",33,"direct",1
237199,"No","USA",23,"ads",3
237200,"No","CHN",42,"SEO",1
237201,"Yes","GBR",52,"SEO",11
237202,"Yes","GBR",21,"SEO",4
237203,"Yes","CHN",20,"SEO",4
237204,"Yes","USA",37,"direct",10
237205,"Yes","USA",34,"SEO",4
237206,"Yes","USA",36,"ads",5
237207,"Yes","USA",48,"SEO",4
237208,"Yes","USA",38,"SEO",5
237209,"Yes","CHN",34,"direct",5
237210,"Yes","CHN",32,"SEO",7
237211,"Yes","GBR",22,"ads",5
237212,"Yes","USA",27,"ads",4
237213,"Yes","USA",28,"SEO",6
237214,"Yes","USA",20,"ads",6
237215,"Yes","CHN",34,"ads",2
237216,"No","CHN",35,"direct",2
237217,"Yes","USA",29,"SEO",14
237218,"No","CHN",23,"ads",3
237219,"Yes","USA",23,"ads",6
237220,"Yes","CHN",40,"SEO",2
237221,"No","GBR",35,"SEO",4
237222,"Yes","GBR",22,"ads",1
237223,"Yes","USA",43,"SEO",9
237224,"Yes","USA",36,"ads",4
237225,"No","USA",37,"direct",3
237226,"No","DEU",34,"SEO",1
237227,"Yes","USA",27,"ads",8
237228,"No","USA",26,"SEO",10
237229,"Yes","USA",44,"direct",3
237230,"No","CHN",35,"SEO",1
237231,"Yes","USA",39,"SEO",9
237232,"Yes","USA",19,"SEO",6
237233,"Yes","CHN",28,"SEO",1
237234,"Yes","USA",22,"ads",4
237235,"Yes","USA",20,"ads",3
237236,"Yes","GBR",31,"direct",1
237237,"Yes","CHN",38,"SEO",7
237238,"Yes","GBR",29,"direct",5
237239,"Yes","GBR",44,"SEO",2
237240,"No","GBR",38,"SEO",6
237241,"Yes","USA",32,"direct",10
237242,"Yes","USA",42,"ads",1
237243,"No","CHN",22,"SEO",1
237244,"No","USA",23,"ads",2
237245,"Yes","USA",21,"SEO",5
237246,"No","CHN",44,"ads",2
237247,"No","CHN",45,"SEO",4
237248,"No","USA",41,"SEO",1
237249,"No","USA",28,"SEO",5
237250,"Yes","USA",23,"direct",1
237251,"Yes","CHN",33,"direct",2
237252,"No","CHN",37,"SEO",1
237253,"Yes","CHN",19,"SEO",5
237254,"Yes","USA",37,"SEO",1
237255,"Yes","USA",18,"ads",5
237256,"No","GBR",33,"direct",2
237257,"Yes","USA",37,"SEO",11
237258,"Yes","USA",27,"direct",3
237259,"Yes","CHN",24,"SEO",1
237260,"Yes","USA",27,"SEO",3
